Username,Date,Content,Likes,Retweets
"The Straits Times
@STcom","9:10 AM · Jul 6, 2020",#Singapore #GE2020: Opposition slams #PAPSingapore leaders' handling of Covid-19 pandemic #Singaporevotes,5.0,8 s
"The Straits Times
@STcom","8:50 AM · Jul 6, 2020","#Singapore #GE2020: Decisions in handling of Covid-19 crisis based on info at hand, WHO guidelines, says #PAPSingapore #Singaporevotes",6.0,7 s
"The Straits Times
@STcom","12:18 PM · Jul 5, 2020",#Singapore #GE2020: #PAPSingapore Lawrence Wong refutes #yourSDP chair Paul Tambyah's remarks on #Covid-19 task force as 'baseless and false',17.0,12 s
"The Straits Times
@STcom","9:45 AM · Jul 5, 2020","#Singapore #GE2020: S'pore healthcare system helped to keep #Covid-19 fatality rate low, says Gan Kim Yong
https://straitstimes.com/politics/spore-healthcare-system-helped-to-keep-covid-19-fatality-rate-low-gan…
#PAPSingapore #singaporevotes",7.0,14 s
"The Straits Times
@STcom","9:32 AM · Jul 5, 2020",#Singapore #GE2020: #PAPSingapore Tan See Leng wants to reach out to those in need in Marine Parade,5.0,6 s
"The Straits Times
@STcom","8:30 AM · Jul 5, 2020",#Singapore #GE2020: #PAPSingapore says population figures were disclosed in Parliament #singaporevotes,6.0,14 s
"The Straits Times
@STcom","8:11 AM · Jul 5, 2020","#Singapore #GE2020: Why settle for PAP-lite? Real thing is much better, says PM Lee Hsien Loong #singaporevotes 
#PAPSingapore #wpsg",10.0,14 s
"The Straits Times
@STcom","11:47 AM · Jul 2, 2020","#Singapore #GE2020: #PAPSingapore will not have 'blank cheque' because of NCMP scheme, say Chun Sing and Indranee  https://straitstimes.com/politics/singapore-ge2020-pap-will-not-have-blank-cheque-because-of-ncmp-scheme-say-chun-sing-and…
#SingaporeVotes",30.0,8 s
"The Straits Times
@STcom","8:40 AM · Jul 2, 2020",#Singapore #GE2020: #PAPSingapore East Coast team tackles workers' concerns in online rally #SingaporeVotes,2.0,4 s
"The Straits Times
@STcom","8:31 AM · Jul 2, 2020",#Singapore #GE2020: What the parties propose on economic matters #PAPSingapore #wpsg #yourSDP #ProgressSgParty #SingaporeVotes,11.0,7 s
"The Straits Times
@STcom","8:12 AM · Jul 2, 2020","#Singapore #GE2020: #PAPSingapore Vivian Balakrishnan refutes  #yourSDP Chee Soon Juan's 10m population claim
https://str.sg/JmB3

#SingaporeElection #SGElection #SGVotes #SingaporeVotes #GE2020",11.0,19 s
"The Straits Times
@STcom","1:44 PM · Jul 1, 2020","#Singapore #GE2020: #ProgressSgParty 'half-hearted' about contesting Nee Soon GRC, says Shanmugam #PAPSingapore #singaporevotes",7.0,2 s
"Tom Tyrone Beiron
@TomTyroneBeiron","12:45 PM · Jul 1, 2020",Voting is automatic in #SingaporeElections2020 either #PAPSingapore or the opposition party. No one really needs to think wisely.,0.0,0
"The Straits Times
@STcom","12:30 PM · Jul 1, 2020","#Singapore #GE2020: Issues at hand, including Covid-19 pandemic, larger than fight between #PAPSingapore and #wpsg, says PAP team in Aljunied GRC #singaporevotes",12.0,4 s
"The Straits Times
@STcom","11:58 AM · Jul 1, 2020",#Singapore #GE2020: #wpsg East Coast team says it expects 'a good fight' against #PAPSingapore team led by Heng Swee Keat #singaporevotes,2.0,5 s
"Marc Nair
@marcnair","2:32 PM · Jun 30, 2020","PV being very shy and mysterious. Seriously, how hard is it to submit headshots? 
#GE2020 #PAPSingapore #slowstart",0.0,1
"Marc Nair
@marcnair","1:10 PM · Jun 30, 2020",PAP making up for their shocking lack of Indian candidates by having their Chinese candidates mangle a token line or two in Tamil. Is this what multicultural representation looks like in 2020? Don’t patronise me. #PAPSingapore #GE2020,365.0,562 s
"The Straits Times
@STcom","1:04 PM · Jun 30, 2020",#Singapore #GE2020: #PAPSingapore Desmond Lee joins West Coast GRC slate in fight against Tan Cheng Bock's #ProgressSgParty #singaporevotes,3.0,7 s
"Onerazz Channel Services
@onerazz","12:38 PM · Jun 27, 2020","#PAPSingapore slate for #GE2020 youngest, most diverse yet, will represent wide range of Singaporeans’ views in Parliament: PM Lee #singaporevotes https://str.sg/JmSo",0.0,0
"The Straits Times
@STcom","12:19 PM · Jun 27, 2020","#Singapore #GE2020: #PAPSingapore new face Ivan Lim should clarify online criticisms, says Heng Swee Keat #singaporevotes",25.0,20 s
"The Straits Times
@STcom","10:52 AM · Jun 27, 2020","#Singapore #GE2020: PM Lee Hsien Loong unveils #PAPSingapore's manifesto, its central focus is on working together to overcome Covid-19 crisis #singaporevotes",11.0,26 s
"The Straits Times
@STcom","8:47 AM · Jun 27, 2020","#Singapore #GE2020: No physical rallies, so new faces must step up outreach if elected, says Zaqy #PAPSingapore #singaporevotes",7.0,6 s
"The Straits Times
@STcom","8:46 AM · Jun 27, 2020","#Singapore #GE2020: With support from many, we managed to deliver, says Transport Minister Khaw Boon Wan #PAPSingapore",0.0,7 s
"Onerazz Channel Services
@onerazz","8:53 PM · Jun 26, 2020",Singapore #GE2020: PM Lee Hsien Loong to unveil #PAPSingapore manifesto on Saturday #singaporevotes https://str.sg/JmUo,0.0,0
"The Straits Times
@STcom","7:09 PM · Jun 26, 2020",#Singapore #GE2020: PM Lee Hsien Loong to unveil #PAPSingapore manifesto on Saturday #singaporevotes,6.0,12 s
"The Straits Times
@STcom","12:00 PM · Jun 26, 2020",#Singapore #GE2020: #PAPSingapore's Hougang branch leader hands out dumplings to residents #singaporevotes,5.0,3 s
"The Straits Times
@STcom","10:44 AM · Jun 26, 2020","#GE2020: #PAPSingapore unveils new slate of candidates, including #Singapore's first woman brigadier-general Gan Siow Huang #singaporevotes",7.0,10 s
"Frank Lee Chan
@FrankLeeChan1","12:19 PM · Jul 10, 2020","Vote wisely #singaporeans #ge2020 #papsg #straitstimes #zaobao #singapore
 @ Sentosa https://instagram.com/p/CCcqnWLhPQb/?igshid=bkhseszk5ln6…",0.0,1
