Username,Date,Content,Likes,Retweets
"Karen M. Fu
@karen_fu","11:44 AM · Jul 12, 2020","Very good spirit! 谢谢，thank you, and even in Malay and Tamil. Impressive.

Danke

Thank you mission despite the marginal loss to PAP in MarymountSMC 

#PSP #GE2020SG #singapore #angyongguan
https://m.facebook.com/story.php?story_fbid=10217988075077413&id=1351562345…",0.0,0
"Angry Merlion
@jj09102010","11:44 AM · Jul 12, 2020","How is this even possible? Just to provide a point to voters that Ivan Lim is clean and trying to ""clear his name"" as the ruling is ALWAYS right? The hot truth is that PAP will never learn their mistake and need to be ""educated"" in GE2025. VERY DISGUSTED
#GE2020 #GE2020SG",0.0,3 s
"Angry Merlion
@jj09102010","11:40 AM · Jul 12, 2020","This picture says alot about our ruling government. How can you put citizens at rise just to have your ""clear mandate""...I am sick to the pit of my stomach #Ge2020 #GE2020SG",0.0,0
"Angry Merlion
@jj09102010","11:38 AM · Jul 12, 2020","If this is the finest the ruling class has to offer, I am VERY concern about the future of Singapore #GE2020SG #Ge2020",0.0,1
"Angry Merlion
@jj09102010","11:36 AM · Jul 12, 2020","Singaporeas, young and old, who voted for freedom, diversity, choices and democracy, I salute you and so proud of all of you #GE2020SG #Ge2020 #sgvotes #sgelections #wpsg",0.0,0
"Pauline Tan
@milkfrostPublic","10:19 AM · Jul 12, 2020","Sibeh kiasu.. 8.30am I went to vote liao 
 .. actually cos I'm working 12pm-11pm lah 
 

.
.
#ge2020sg #ge2020 #cbphase2 #cbphase220 #cbphase2day20 #igsg #sgig #cckgrc #shotbyiphonexsmax #iphonexsmaxpic… https://instagram.com/p/CChmddsHTCy/?igshid=1oqka922j6jye…",0.0,0
"8world News 8视界新闻
@8worldnews","8:40 AM · Jul 12, 2020","#SGVOTES2020 #GE2020SG 【新加坡大选】观察家：工人党已完成领导层更新 毕丹星党领袖地位巩固https://bit.ly/2ZhLtWq

更多大选的全面报道，浏览 http://8world.com/sg-votes",0.0,1
"Aj Morris
@ajishhhh","10:46 PM · Jul 11, 2020","So they said in 2011 too. A decade has passed and we saw POFMA, reserved presidency amongst many others. Comments like these are what alienated people because we know there is no sincerity. Actions talk louder than words. #ge2020sg",0.0,0
"Movint Rao
@MovintRao","10:31 PM · Jul 11, 2020","I really feel that in order for our voices to be heard by the government we must put constant pressure on their systems and policies just like Black Lives Matter, we can’t just speak for a few months but we HAVE to constantly pressure them. 

#GE2020SG #SingaporeElection",0.0,0
"Kherubim
@Kherubim2k","8:41 PM · Jul 11, 2020",Is it possible for a MP-elect to retire immediately after the election and be replaced by another candidate from the party before being sworn in? #GE2020SG,0.0,0
